id,name,mood,industry_tags,primary,primary_fg,secondary,accent,bg,surface,surface_alt,text,text_muted,border,success,warning,danger,info,dark_bg,dark_surface,dark_text,dark_text_muted,dark_primary,dark_secondary,dark_accent,dark_border,dark_success,dark_warning,dark_danger,dark_info
olive-market-soft,Olive Market Soft,"grounded, fresh, softer","retail,grocery,pos",#6e8f56,#0b0b0b,#5c8a60,#714691,#ffffff,#fafbf9,#f2f4f0,#1d2617,#64725a,#849975,#279b57,#b36f0f,#aa1818,#1d78a5,#161a14,#20251d,#eaece9,#b1b9ac,#95b280,#85ad88,#a47cc0,#64705c,#64d894,#f0ac4c,#e75555,#5ab5e2
olive-market-bold,Olive Market Bold,"grounded, fresh, bolder","retail,grocery,pos",#5ca329,#0b0b0b,#45a14d,#7820b6,#ffffff,#fafbf9,#f2f4f0,#1d2617,#64725a,#849975,#279b57,#b36f0f,#aa1818,#1d78a5,#161a14,#20251d,#eaece9,#b1b9ac,#8fd65c,#70c277,#a95ae2,#64705c,#64d894,#f0ac4c,#e75555,#5ab5e2
navy-ledger,Navy Ledger,"serious, financial","fintech,trading,accounting",#2866bd,#ffffff,#483fa6,#bb781b,#ffffff,#f9fafb,#f0f2f4,#171d26,#5a6472,#8794a6,#279b57,#b36f0f,#aa1818,#1d78a5,#14161a,#1d2025,#e9eaec,#acb1b9,#578edb,#736bc7,#e7aa55,#5e6773,#64d894,#f0ac4c,#e75555,#5ab5e2
navy-ledger-soft,Navy Ledger Soft,"serious, financial, softer","fintech,trading,accounting",#456ba1,#ffffff,#605c8a,#a17436,#ffffff,#f9fafb,#f0f2f4,#171d26,#5a6472,#8794a6,#279b57,#b36f0f,#aa1818,#1d78a5,#14161a,#1d2025,#e9eaec,#acb1b9,#7092c2,#8885ad,#cfa66e,#5e6773,#64d894,#f0ac4c,#e75555,#5ab5e2
navy-ledger-bold,Navy Ledger Bold,"serious, financial, bolder","fintech,trading,accounting",#1763cf,#ffffff,#392eb8,#cb7b0b,#ffffff,#f9fafb,#f0f2f4,#171d26,#5a6472,#8794a6,#279b57,#b36f0f,#aa1818,#1d78a5,#14161a,#1d2025,#e9eaec,#acb1b9,#478beb,#665cd6,#f5ad47,#5e6773,#64d894,#f0ac4c,#e75555,#5ab5e2
plum-boutique,Plum Boutique,"refined, fashion","retail,boutique,fashion",#a63fa6,#ffffff,#8f5673,#30a630,#ffffff,#fbf9fb,#f4f0f4,#261726,#725a72,#a88aa8,#279b57,#b36f0f,#aa1818,#1d78a5,#1a141a,#251d25,#ece9ec,#b9acb9,#c76bc7,#b28099,#69d369,#735e73,#64d894,#f0ac4c,#e75555,#5ab5e2
plum-boutique-soft,Plum Boutique Soft,"refined, fashion, softer","retail,boutique,fashion",#8f568f,#ffffff,#8a5c73,#469146,#ffffff,#fbf9fb,#f4f0f4,#261726,#725a72,#a88aa8,#279b57,#b36f0f,#aa1818,#1d78a5,#1a141a,#251d25,#ece9ec,#b9acb9,#b280b2,#ad8599,#7cc07c,#735e73,#64d894,#f0ac4c,#e75555,#5ab5e2
plum-boutique-bold,Plum Boutique Bold,"refined, fashion, bolder","retail,boutique,fashion",#b82eb8,#ffffff,#a14573,#1ea91e,#ffffff,#fbf9fb,#f4f0f4,#261726,#725a72,#a88aa8,#279b57,#b36f0f,#aa1818,#1d78a5,#1a141a,#251d25,#ece9ec,#b9acb9,#d65cd6,#c27099,#5ae25a,#735e73,#64d894,#f0ac4c,#e75555,#5ab5e2
sand-hospitality,Sand Hospitality,"warm, quiet","hotel,hospitality,restaurant",#ac7c39,#0b0b0b,#8f9550,#2b60ab,#ffffff,#fbfaf9,#f4f3f0,#262017,#72685a,#9d8f7b,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1714,#25221d,#ecebe9,#b9b4ac,#cca266,#b2b87a,#6494d8,#70685c,#64d894,#f0ac4c,#e75555,#5ab5e2
sand-hospitality-soft,Sand Hospitality Soft,"warm, quiet, softer","hotel,hospitality,restaurant",#8f7856,#0b0b0b,#868a5c,#466591,#ffffff,#fbfaf9,#f4f3f0,#262017,#72685a,#9d8f7b,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1714,#25221d,#ecebe9,#b9b4ac,#b29d80,#aaad85,#7c98c0,#70685c,#64d894,#f0ac4c,#e75555,#5ab5e2
sand-hospitality-bold,Sand Hospitality Bold,"warm, quiet, bolder","hotel,hospitality,restaurant",#bd7f28,#0b0b0b,#90983a,#1b5ebb,#ffffff,#fbfaf9,#f4f3f0,#262017,#72685a,#9d8f7b,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1714,#25221d,#ecebe9,#b9b4ac,#dba457,#bfc76b,#5592e7,#70685c,#64d894,#f0ac4c,#e75555,#5ab5e2
slate-ops,Slate Ops,"neutral, operational","pos,kds,logistics,admin",#5c738a,#ffffff,#5c5c8a,#8b6b4b,#ffffff,#f9fafb,#f0f2f4,#171f26,#5a6672,#8494a4,#279b57,#b36f0f,#aa1818,#1d78a5,#14171a,#1d2125,#e9ebec,#acb2b9,#8599ad,#8585ad,#bb9e81,#5c6670,#64d894,#f0ac4c,#e75555,#5ab5e2
slate-ops-soft,Slate Ops Soft,"neutral, operational, softer","pos,kds,logistics,admin",#56738f,#ffffff,#5c5c8a,#916b46,#ffffff,#f9fafb,#f0f2f4,#171f26,#5a6672,#8494a4,#279b57,#b36f0f,#aa1818,#1d78a5,#14171a,#1d2125,#e9ebec,#acb2b9,#8099b2,#8585ad,#c09e7c,#5c6670,#64d894,#f0ac4c,#e75555,#5ab5e2
slate-ops-bold,Slate Ops Bold,"neutral, operational, bolder","pos,kds,logistics,admin",#4b739b,#ffffff,#5c5c8a,#9b6b3b,#ffffff,#f9fafb,#f0f2f4,#171f26,#5a6672,#8494a4,#279b57,#b36f0f,#aa1818,#1d78a5,#14171a,#1d2125,#e9ebec,#acb2b9,#7599bd,#8585ad,#ca9e72,#5c6670,#64d894,#f0ac4c,#e75555,#5ab5e2
saffron-souk,Saffron Souk,"vibrant, GCC","retail,marketplace,food",#bd870a,#0b0b0b,#829c1c,#0b45cb,#ffffff,#fbfaf9,#f4f3f0,#262217,#726b5a,#9b9178,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1814,#25231d,#ecebe9,#b9b5ac,#f5be3d,#c4e052,#477bf5,#706a5c,#64d894,#f0ac4c,#e75555,#5ab5e2
saffron-souk-soft,Saffron Souk Soft,"vibrant, GCC, softer","retail,marketplace,food",#b58a26,#0b0b0b,#889b3b,#1b4bbb,#ffffff,#fbfaf9,#f4f3f0,#262217,#726b5a,#9b9178,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1814,#25231d,#ecebe9,#b9b5ac,#dbb457,#b5c76b,#5581e7,#706a5c,#64d894,#f0ac4c,#e75555,#5ab5e2
saffron-souk-bold,Saffron Souk Bold,"vibrant, GCC, bolder","retail,marketplace,food",#c28905,#0b0b0b,#819c16,#0b45cb,#ffffff,#fbfaf9,#f4f3f0,#262217,#726b5a,#9b9178,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1814,#25231d,#ecebe9,#b9b5ac,#fac038,#c7e64c,#477bf5,#706a5c,#64d894,#f0ac4c,#e75555,#5ab5e2
sea-property,Sea Property,"open, spacious","property,real-estate,booking",#398fac,#0b0b0b,#506295,#ab4b2b,#ffffff,#f9fafb,#f0f3f4,#172226,#5a6c72,#7e97a0,#279b57,#b36f0f,#aa1818,#1d78a5,#14191a,#1d2325,#e9ebec,#acb6b9,#66b2cc,#7a8ab8,#d88164,#5c6b70,#64d894,#f0ac4c,#e75555,#5ab5e2
sea-property-soft,Sea Property Soft,"open, spacious, softer","property,real-estate,booking",#56818f,#0b0b0b,#5c678a,#915846,#ffffff,#f9fafb,#f0f3f4,#172226,#5a6c72,#7e97a0,#279b57,#b36f0f,#aa1818,#1d78a5,#14191a,#1d2325,#e9ebec,#acb6b9,#80a6b2,#858fad,#c08d7c,#5c6b70,#64d894,#f0ac4c,#e75555,#5ab5e2
sea-property-bold,Sea Property Bold,"open, spacious, bolder","property,real-estate,booking",#2898bd,#0b0b0b,#3f59a6,#bb431b,#ffffff,#f9fafb,#f0f3f4,#172226,#5a6c72,#7e97a0,#279b57,#b36f0f,#aa1818,#1d78a5,#14191a,#1d2325,#e9ebec,#acb6b9,#57badb,#6b82c7,#e77a55,#5c6b70,#64d894,#f0ac4c,#e75555,#5ab5e2
forest-edtech,Forest EdTech,"focused, growth","edtech,lms",#37a46e,#0b0b0b,#509595,#ab2b6b,#ffffff,#f9fbfa,#f0f4f2,#17261f,#5a7266,#789b8a,#279b57,#b36f0f,#aa1818,#1d78a5,#141a17,#1d2521,#e9eceb,#acb9b2,#66cc99,#7ab8b8,#d8649e,#5c7066,#64d894,#f0ac4c,#e75555,#5ab5e2
forest-edtech-soft,Forest EdTech Soft,"focused, growth, softer","edtech,lms",#568f73,#0b0b0b,#5c8a8a,#91466b,#ffffff,#f9fbfa,#f0f4f2,#17261f,#5a7266,#789b8a,#279b57,#b36f0f,#aa1818,#1d78a5,#141a17,#1d2521,#e9eceb,#acb9b2,#80b299,#85adad,#c07c9e,#5c7066,#64d894,#f0ac4c,#e75555,#5ab5e2
forest-edtech-bold,Forest EdTech Bold,"focused, growth, bolder","edtech,lms",#24a866,#0b0b0b,#3c9f9f,#bb1b6b,#ffffff,#f9fbfa,#f0f4f2,#17261f,#5a7266,#789b8a,#279b57,#b36f0f,#aa1818,#1d78a5,#141a17,#1d2521,#e9eceb,#acb9b2,#57db99,#6bc7c7,#e7559e,#5c7066,#64d894,#f0ac4c,#e75555,#5ab5e2
coral-whatsapp,Coral Messaging,"friendly, direct","whatsapp,messaging,saas",#c33822,#ffffff,#ac8239,#149eb3,#ffffff,#fbf9f9,#f4f1f0,#261917,#725d5a,#a68b87,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1514,#251e1d,#ece9e9,#b9aeac,#e06552,#cca766,#51d7ec,#73615e,#64d894,#f0ac4c,#e75555,#5ab5e2
coral-whatsapp-soft,Coral Messaging Soft,"friendly, direct, softer","whatsapp,messaging,saas",#a64d3f,#ffffff,#8f7a56,#3096a6,#ffffff,#fbf9f9,#f4f1f0,#261917,#725d5a,#a68b87,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1514,#251e1d,#ece9e9,#b9aeac,#c7776b,#b2a080,#69c5d3,#73615e,#64d894,#f0ac4c,#e75555,#5ab5e2
coral-whatsapp-bold,Coral Messaging Bold,"friendly, direct, bolder","whatsapp,messaging,saas",#d42b11,#ffffff,#bd8728,#0aa1b8,#ffffff,#fbf9f9,#f4f1f0,#261917,#725d5a,#a68b87,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1514,#251e1d,#ece9e9,#b9aeac,#f05942,#dbab57,#47def5,#73615e,#64d894,#f0ac4c,#e75555,#5ab5e2
graphite-b2b,Graphite B2B,"sober, dense","erp,crm,admin",#626d84,#ffffff,#635c8a,#867450,#ffffff,#f9fafb,#f0f2f4,#171c26,#5a6272,#8a94a8,#279b57,#b36f0f,#aa1818,#1d78a5,#14161a,#1d2025,#e9eaec,#acb0b9,#8a94a8,#8b85ad,#b6a686,#5e6573,#64d894,#f0ac4c,#e75555,#5ab5e2
graphite-b2b-soft,Graphite B2B Soft,"sober, dense, softer","erp,crm,admin",#56698f,#ffffff,#635c8a,#917846,#ffffff,#f9fafb,#f0f2f4,#171c26,#5a6272,#8a94a8,#279b57,#b36f0f,#aa1818,#1d78a5,#14161a,#1d2025,#e9eaec,#acb0b9,#8090b2,#8b85ad,#c0a97c,#5e6573,#64d894,#f0ac4c,#e75555,#5ab5e2
graphite-b2b-bold,Graphite B2B Bold,"sober, dense, bolder","erp,crm,admin",#506795,#ffffff,#635c8a,#967940,#ffffff,#f9fafb,#f0f2f4,#171c26,#5a6272,#8a94a8,#279b57,#b36f0f,#aa1818,#1d78a5,#14161a,#1d2025,#e9eaec,#acb0b9,#7a8fb8,#8b85ad,#c5ab77,#5e6573,#64d894,#f0ac4c,#e75555,#5ab5e2
mint-wallet,Mint Wallet,"fresh, fintech","fintech,wallet",#29a37a,#0b0b0b,#4591a1,#b62052,#ffffff,#f9fbfa,#f0f4f3,#172621,#5a726a,#75998d,#279b57,#b36f0f,#aa1818,#1d78a5,#141a18,#1d2522,#e9eceb,#acb9b5,#5cd6ad,#70b4c2,#e25a87,#5c7069,#64d894,#f0ac4c,#e75555,#5ab5e2
mint-wallet-soft,Mint Wallet Soft,"fresh, fintech, softer","fintech,wallet",#4b9b80,#0b0b0b,#5c828a,#9b3b5b,#ffffff,#f9fbfa,#f0f4f3,#172621,#5a726a,#75998d,#279b57,#b36f0f,#aa1818,#1d78a5,#141a18,#1d2522,#e9eceb,#acb9b5,#75bda5,#85a7ad,#ca7290,#5c7069,#64d894,#f0ac4c,#e75555,#5ab5e2
mint-wallet-bold,Mint Wallet Bold,"fresh, fintech, bolder","fintech,wallet",#18a576,#0b0b0b,#349db2,#c6104d,#ffffff,#f9fbfa,#f0f4f3,#172621,#5a726a,#75998d,#279b57,#b36f0f,#aa1818,#1d78a5,#141a18,#1d2522,#e9eceb,#acb9b5,#4ce6b2,#61bed1,#f04c83,#5c7069,#64d894,#f0ac4c,#e75555,#5ab5e2
amber-logistics,Amber Logistics,"alert, industrial","logistics,fleet,warehouse",#c18610,#0b0b0b,#879c21,#0b4bcb,#ffffff,#fbfaf9,#f4f3f0,#262117,#726a5a,#9d927b,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1814,#25221d,#ecebe9,#b9b5ac,#f0b642,#c5db57,#4781f5,#70695c,#64d894,#f0ac4c,#e75555,#5ab5e2
amber-logistics-soft,Amber Logistics Soft,"alert, industrial, softer","logistics,fleet,warehouse",#b88a2e,#0b0b0b,#8b9a42,#2052b6,#ffffff,#fbfaf9,#f4f3f0,#262117,#726a5a,#9d927b,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1814,#25221d,#ecebe9,#b9b5ac,#d6ad5c,#b4c270,#5a87e2,#70695c,#64d894,#f0ac4c,#e75555,#5ab5e2
amber-logistics-bold,Amber Logistics Bold,"alert, industrial, bolder","logistics,fleet,warehouse",#c78605,#0b0b0b,#869c16,#0b4bcb,#ffffff,#fbfaf9,#f4f3f0,#262117,#726a5a,#9d927b,#279b57,#b36f0f,#aa1818,#1d78a5,#1a1814,#25221d,#ecebe9,#b9b5ac,#fab938,#cce64c,#4781f5,#70695c,#64d894,#f0ac4c,#e75555,#5ab5e2
violet-creator,Violet Creator,expressive,"marketplace,creator,landing",#672eb8,#ffffff,#9945a1,#69a01c,#ffffff,#faf9fb,#f2f0f4,#1d1726,#645a72,#968aa8,#279b57,#b36f0f,#aa1818,#1d78a5,#16141a,#201d25,#eae9ec,#b1acb9,#9768d9,#bb70c2,#a9e25a,#696076,#64d894,#f0ac4c,#e75555,#5ab5e2
violet-creator-soft,Violet Creator Soft,"expressive, softer","marketplace,creator,landing",#6c4b9b,#ffffff,#865c8a,#739b3b,#ffffff,#faf9fb,#f2f0f4,#1d1726,#645a72,#968aa8,#279b57,#b36f0f,#aa1818,#1d78a5,#16141a,#201d25,#eae9ec,#b1acb9,#9375bd,#aa85ad,#a5ca72,#696076,#64d894,#f0ac4c,#e75555,#5ab5e2
violet-creator-bold,Violet Creator Bold,"expressive, bolder","marketplace,creator,landing",#641dc9,#ffffff,#a734b2,#63a00d,#ffffff,#faf9fb,#f2f0f4,#1d1726,#645a72,#968aa8,#279b57,#b36f0f,#aa1818,#1d78a5,#16141a,#201d25,#eae9ec,#b1acb9,#9b63e9,#c861d1,#acf04c,#696076,#64d894,#f0ac4c,#e75555,#5ab5e2
pos-light-ops,POS Light Operational,"operational, high-contrast","pos,restaurant,retail,operational",#2273c3,#ffffff,#3939ac,#c16b15,#ffffff,#f9fafb,#f0f2f4,#171f26,#5a6672,#8494a4,#279b57,#b36f0f,#aa1818,#1d78a5,#14171a,#1d2125,#e9ebec,#acb2b9,#5299e0,#6666cc,#ec9e51,#5c6670,#64d894,#f0ac4c,#e75555,#5ab5e2
pos-light-cb,POS Light Colourblind-safe,"operational, blue/orange semantics","pos,restaurant,retail,operational,colorblind",#2273c3,#ffffff,#3939ac,#c16b15,#ffffff,#f9fafb,#f0f2f4,#171f26,#5a6672,#8494a4,#27579b,#b36f0f,#aa5518,#1d78a5,#14171a,#1d2125,#e9ebec,#acb2b9,#5299e0,#6666cc,#ec9e51,#5c6670,#6494d8,#f0ac4c,#e79255,#5ab5e2
kds-dark,KDS Dark,"dark, kitchen glare-proof","kds,kitchen,operational,dark",#5c99d6,#0b0b0b,#7070c2,#e29e5a,#16191d,#1f2428,#282e33,#e9ebed,#acb2b9,#5e6973,#64d894,#f0ac4c,#e75555,#5ab5e2,#14171a,#1d2125,#e9ebec,#acb2b9,#5c99d6,#7070c2,#e29e5a,#5c6670,#64d894,#f0ac4c,#e75555,#5ab5e2
kds-dark-cb,KDS Dark Colourblind-safe,"dark, blue/orange age colours","kds,kitchen,operational,dark,colorblind",#5c99d6,#0b0b0b,#7070c2,#e29e5a,#16191d,#1f2428,#282e33,#e9ebed,#acb2b9,#5e6973,#6494d8,#f0ac4c,#e79255,#5ab5e2,#14171a,#1d2125,#e9ebec,#acb2b9,#5c99d6,#7070c2,#e29e5a,#5c6670,#6494d8,#f0ac4c,#e79255,#5ab5e2
retail-counter,Retail Counter,"operational, retail","retail,pos,operational",#30a66b,#0b0b0b,#4b9b9b,#b1256b,#ffffff,#f9fbfa,#f0f4f2,#17261f,#5a7266,#789b8a,#279b57,#b36f0f,#aa1818,#1d78a5,#141a17,#1d2521,#e9eceb,#acb9b2,#61d199,#75bdbd,#dd5f9e,#5c7066,#64d894,#f0ac4c,#e75555,#5ab5e2
retail-counter-cb,Retail Counter Colourblind-safe,"operational, retail, blue/orange","retail,pos,operational,colorblind",#30a66b,#0b0b0b,#4b9b9b,#b1256b,#ffffff,#f9fbfa,#f0f4f2,#17261f,#5a7266,#789b8a,#27579b,#b36f0f,#aa5518,#1d78a5,#141a17,#1d2521,#e9eceb,#acb9b2,#61d199,#75bdbd,#dd5f9e,#5c7066,#6494d8,#f0ac4c,#e79255,#5ab5e2
trading-dark,Trading Dark,"dense, financial, dark","trading,fintech,dark,operational",#527ce0,#0b0b0b,#7a66cc,#ecbd51,#16181d,#1f2228,#282c33,#e9eaed,#acb0b9,#606776,#64d894,#f0ac4c,#e75555,#5ab5e2,#14161a,#1d2025,#e9eaec,#acb0b9,#5680e1,#7a66cc,#ecbd51,#5e6473,#64d894,#f0ac4c,#e75555,#5ab5e2
trading-dark-cb,Trading Dark Colourblind-safe,"dense, financial, blue/orange P&L","trading,fintech,dark,operational,colorblind",#527ce0,#0b0b0b,#7a66cc,#ecbd51,#16181d,#1f2228,#282c33,#e9eaed,#acb0b9,#606776,#6494d8,#f0ac4c,#e79255,#5ab5e2,#14161a,#1d2025,#e9eaec,#acb0b9,#5680e1,#7a66cc,#ecbd51,#5e6473,#6494d8,#f0ac4c,#e79255,#5ab5e2
trading-light,Trading Light,"dense, financial","trading,fintech,operational",#2253c3,#ffffff,#5039ac,#bc8a15,#ffffff,#f9f9fb,#f0f1f4,#171c26,#5a6172,#8a93a8,#279b57,#b36f0f,#aa1818,#1d78a5,#14161a,#1d2025,#e9eaec,#acb0b9,#5680e1,#7a66cc,#ecbd51,#5e6473,#64d894,#f0ac4c,#e75555,#5ab5e2
dashboard-dark,Dashboard Dark,"dark, analytics","admin,analytics,dark",#4545a1,#ffffff,#9985ad,#cfcf6e,#16161d,#1f1f28,#282833,#e9e9ed,#acacb9,#636379,#64d894,#f0ac4c,#e75555,#5ab5e2,#14141a,#1d1d25,#e9e9ec,#acacb9,#7b7bc6,#9985ad,#cfcf6e,#636379,#64d894,#f0ac4c,#e75555,#5ab5e2
warehouse-dark,Warehouse Dark,"dark, scanner-first","logistics,warehouse,dark,operational",#e0b152,#0b0b0b,#bbcc66,#5184ec,#1d1b16,#28251f,#333028,#edebe9,#b9b5ac,#70695c,#6494d8,#f0ac4c,#e79255,#5ab5e2,#1a1814,#25221d,#ecebe9,#b9b5ac,#e0b152,#bbcc66,#5184ec,#70695c,#6494d8,#f0ac4c,#e79255,#5ab5e2
hospital-ops,Hospital Operational,"calm, high-contrast","hms,health,operational",#3999ac,#0b0b0b,#506795,#ab402b,#ffffff,#f9fbfb,#f0f4f4,#172426,#5a6e72,#7b989d,#27579b,#b36f0f,#aa5518,#1d78a5,#14191a,#1d2425,#e9ecec,#acb7b9,#66bbcc,#7a8fb8,#d87764,#5c6d70,#6494d8,#f0ac4c,#e79255,#5ab5e2
